20160218:130459757;1,43695
20160218:130500054;1,43695
20160218:130500349;1,43695
20160218:130500642;1,43695
20160218:130501012;1,43698
20160218:130501321;1,43698
20160218:130501634;1,43698
20160218:130501950;1,43698
20160218:130502240;1,43703
20160218:130502541;1,43703
20160218:130502927;1,43703
20160218:130503225;1,43703
20160218:130503531;1,43703
20160218:130503855;1,43607
20160218:130504166;1,43607
20160218:130504474;1,43607
20160218:130504797;1,43693
20160218:130505081;1,43693
20160218:130505364;1,43693
20160218:130505666;1,43693
20160218:130505979;1,43693
20160218:130506297;1,43694
20160218:130506601;1,43694
20160218:130506916;1,43694
20160218:130507279;1,43694
20160218:130507585;1,43693
20160218:130507913;1,43693
20160218:130508217;1,43693
20160218:130508528;1,43693
20160218:130508836;1,43695
20160218:130509177;1,43695
20160218:130509547;1,43695
20160218:130509856;1,43695
20160218:130510144;1,437
20160218:130510443;1,437
20160218:130510802;1,437
20160218:130511112;1,437
20160218:130512733;1,43706
20160218:130513053;1,43706
20160218:130513681;1,43706
20160218:130514031;1,43706
20160218:130514350;1,43706
20160218:130514659;1,43706
20160218:130514960;1,43706
20160218:130515277;1,43706
20160218:130515584;1,43708
20160218:130515885;1,43708
20160218:130516187;1,43708
20160218:130516486;1,43708
20160218:130516846;1,43707
20160218:130517125;1,43707
20160218:130517489;1,43707
20160218:130517801;1,43707
20160218:130518112;1,43707
20160218:130518426;1,43707
20160218:130518714;1,43707
20160218:130519009;1,43707
20160218:130519309;1,43707
20160218:130519609;1,43707
20160218:130519927;1,43707
20160218:130520252;1,43707
20160218:130520557;1,43707
20160218:130520910;1,43707
20160218:130521261;1,43707
20160218:130521572;1,43707
20160218:130521870;1,43707
20160218:130522209;1,43707
20160218:130522508;1,43707
20160218:130522817;1,43707
20160218:130523157;1,43707
20160218:130523480;1,43707
20160218:130523821;1,43708
20160218:130524154;1,43708
20160218:130524456;1,43708
20160218:130524745;1,43709
20160218:130525058;1,43709
20160218:130525438;1,43709
20160218:130525724;1,43709
20160218:130526103;1,43709
20160218:130526424;1,43709
20160218:130526730;1,43709
20160218:130527053;1,43709
20160218:130527382;1,43601
20160218:130527693;1,43601
20160218:130528022;1,43601
20160218:130528359;1,43601
20160218:130533137;1,43693
20160218:130533471;1,43693
20160218:130533786;1,43693
20160218:130534095;1,43693
20160218:130534393;1,43693
20160218:130534677;1,43693
20160218:130535012;1,43693
20160218:130535321;1,43693
20160218:130535634;1,43693
20160218:130535978;1,43693
20160218:130536307;1,43693
20160218:130536615;1,43693
20160218:130536948;1,43693
20160218:130537248;1,43692
20160218:130537551;1,43692
20160218:130537868;1,43692
20160218:130538181;1,43692
20160218:130538499;1,43692
20160218:130538856;1,43692
20160218:130539180;1,43692
20160218:130539476;1,43692
20160218:130539792;1,43692
20160218:130540115;1,43692
20160218:130540422;1,43692
20160218:130540715;1,43692
20160218:130541015;1,43692
20160218:130541340;1,43692
20160218:130541657;1,43692
20160218:130541957;1,43692
20160218:130542260;1,43692
20160218:130542572;1,43705
20160218:130542883;1,43705
20160218:130543213;1,43705
20160218:130543514;1,43705
20160218:130543835;1,43704
20160218:130544188;1,43704
20160218:130544476;1,43704
20160218:130544788;1,43704
20160218:130545093;1,43704
20160218:130545381;1,43704
20160218:130545698;1,43706
20160218:130545997;1,43706
20160218:130546317;1,43706
20160218:130546651;1,43706
20160218:130546957;1,43609
20160218:130547304;1,43609
20160218:130547605;1,43609
20160218:130547923;1,43693
20160218:130548232;1,43693
20160218:130548612;1,43693
20160218:130548937;1,43693
20160218:130549275;1,43693
20160218:130549598;1,43693
20160218:130549914;1,43693
20160218:130550228;1,43693
20160218:130550531;1,43693
20160218:130550820;1,43693
20160218:130551149;1,43693
20160218:130551455;1,43693
20160218:130551745;1,43693
20160218:130552126;1,43695
20160218:130552424;1,43695
20160218:130552732;1,43695
20160218:130553054;1,43695
20160218:130553457;1,43696
20160218:130553762;1,43696
20160218:130554054;1,43696
20160218:130554426;1,43696
20160218:130554743;1,43696
20160218:130555068;1,43696
20160218:130555390;1,43696
20160218:130555707;1,43696
20160218:130556083;1,43696
20160218:130556463;1,4369
20160218:130556792;1,4369
20160218:130557116;1,4369
20160218:130557441;1,43689
20160218:130557771;1,43689
20160218:130558085;1,43689
20160218:130558396;1,43689
20160218:130558734;1,43689
20160218:130559072;1,43689
20160218:130559380;1,43689
20160218:130559706;1,43689
20160218:130600033;1,43689
20160218:130600351;1,43689
